date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:09:02	184/184	---M--	200	added ('OK')	text/plain	etag:%22b8-565b67b7223ea%22	http://www.idffy.it/robots.txt		(from )
11:09:03	33453/33453	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2016:09:07%20GMT	http://www.idffy.it/mariadamico/	C:/My%20Web%20Sites/Luis/www.idffy.it/mariadamico/index.html	(from )
11:09:03	24060/24060	---M--	200	added ('OK')	text/css	etag:%225dfc-562453b5142c0%22	http://www.idffy.it/site_200/templates/default_bootstrap/css/style.css	C:/My%20Web%20Sites/Luis/www.idffy.it/site_200/templates/default_bootstrap/css/style.css	(from )
11:09:04	211/211	---M--	200	added ('OK')	text/css	etag:%22d3-54b3e19c5c400%22	http://www.idffy.it/site_200/blocks/footer_registration_banner/style/block_footer_registration_banner.css	C:/My%20Web%20Sites/Luis/www.idffy.it/site_200/blocks/footer_registration_banner/style/block_footer_registration_banner.css	(from )
11:09:04	771/771	---M--	200	added ('OK')	text/css	etag:%22303-4be03ac4190c0%22	http://www.idffy.it/site_200/blocks/language_choice/style/block_language_choice.css	C:/My%20Web%20Sites/Luis/www.idffy.it/site_200/blocks/language_choice/style/block_language_choice.css	(from )
11:09:05	960/960	---M--	200	added ('OK')	text/css	etag:%223c0-562454a9382c0%22	http://www.idffy.it/site_200/blocks/top_header_menu_responsive/style/block_top_header_menu_responsive.css	C:/My%20Web%20Sites/Luis/www.idffy.it/site_200/blocks/top_header_menu_responsive/style/block_top_header_menu_responsive.css	(from )
11:09:05	344/344	---M--	200	added ('OK')	text/css	etag:%22158-562454a844080%22	http://www.idffy.it/site_200/blocks/top_header_language_choice_responsive/style/block_top_header_language_choice_responsive.css	C:/My%20Web%20Sites/Luis/www.idffy.it/site_200/blocks/top_header_language_choice_responsive/style/block_top_header_language_choice_responsive.css	(from )
11:09:05	1335/1335	---M--	200	added ('OK')	text/css	etag:%22537-562454aa2c500%22	http://www.idffy.it/site_200/blocks/top_header_social_net_responsive/style/block_top_header_social_net_responsive.css	C:/My%20Web%20Sites/Luis/www.idffy.it/site_200/blocks/top_header_social_net_responsive/style/block_top_header_social_net_responsive.css	(from )
11:09:05	491/491	---M--	200	added ('OK')	text/css	etag:%221eb-562454a9382c0%22	http://www.idffy.it/site_200/blocks/top_header_left_logo_block_responsive/style/block_top_header_left_logo_block_responsive.css	C:/My%20Web%20Sites/Luis/www.idffy.it/site_200/blocks/top_header_left_logo_block_responsive/style/block_top_header_left_logo_block_responsive.css	(from )
11:09:06	1814/1814	---M--	200	added ('OK')	text/css	etag:%22716-563b059d659df%22	http://www.idffy.it/site_200/blocks/top_header_center_user_showname_responsive/style/block_top_header_center_user_showname_responsive.css	C:/My%20Web%20Sites/Luis/www.idffy.it/site_200/blocks/top_header_center_user_showname_responsive/style/block_top_header_center_user_showname_responsive.css	(from )
